Nome,Sexo,Idade,Profissao,Salario,EC
Marcia,M,18.0,Gerente,22227.04,Casado
Gustavo,M,19.0,Gerente,,Casado
Aline,M,,Médico,20860.3,Solteiro
Rafael,F,19.0,Programador,22149.66,Viúvo
Ana Paula,M,19.0,Diretor Executivo (CEO),4859.79,Viúvo
Antonio,F,,Engenheiro de Petróleo,12143.78,Solteiro
Beatriz,F,18.0,Consultor,9519.43,Viúvo
Felipe,F,19.0,Dentista,20716.78,Solteiro
José,M,18.0,Engenheiro,7248.29,Solteiro
Fatima,M,,Cientista de Dados,19932.25,Casado
Amanda,M,19.0,Dentista,11507.0,Viúvo
Mariana,M,,Engenheiro,12894.88,Viúvo
Larissa,M,,Dentista,7999.4,Viúvo
Larissa,F,19.0,Farmacêutico,19992.1,Divorciado
Sandra,M,18.0,Veterinário,18748.01,Casado
Carlos,M,19.0,Diretor Executivo (CEO),3360.19,Divorciado
Larissa,F,18.0,Diretor (CTO),9744.05,Divorciado
Rodrigo,F,18.0,Gerente,18969.63,Divorciado
Carlos,F,18.0,Diretor (CTO),7808.72,Viúvo
Renata,F,19.0,Médico,3353.04,Casado
Carlos,M,,Gerente de TI,9049.56,Casado
Daniel,F,19.0,Engenheiro,15123.49,Solteiro
Thiago,M,19.0,Analista de Sistemas,5554.08,Divorciado
Paula,F,18.0,Engenheiro de Petróleo,9868.48,Solteiro
Bruna,F,19.0,Engenheiro,19692.53,Divorciado
Sandra,F,19.0,Engenheiro,11537.19,Casado
Joao,F,19.0,Gerente,8319.27,Casado
Larissa,F,19.0,Engenheiro,8947.2,Casado
José,F,18.0,Gerente,19433.52,Divorciado
Rafael,M,18.0,Analista de Sistemas,14448.13,Casado
Marcelo,M,19.0,Gerente de Vendas,7491.92,Solteiro
Leonardo,F,18.0,Médico,3992.33,Solteiro
Bruna,F,,Piloto,14588.49,Solteiro
Francisco,M,19.0,Gerente de Vendas,16962.11,Divorciado
Gabriela,F,19.0,Engenheiro,17493.96,Casado
Patricia,F,18.0,Veterinário,5967.95,Solteiro
Gustavo,F,,Veterinário,4879.1,Solteiro
Bruno,F,18.0,Gerente de TI,5389.76,Solteiro
Maria,F,18.0,Consultor,12420.08,Divorciado
Sandra,F,19.0,Veterinário,15857.3,Solteiro
Marcia,M,19.0,Cientista de Dados,20494.66,Viúvo
Felipe,M,,Médico,18070.15,Solteiro
Francisca,F,19.0,Veterinário,13821.94,Viúvo
Aline,M,18.0,Arquiteto,18539.44,Viúvo
Fernanda,F,18.0,Programador,4186.9,Divorciado
Eduardo,M,18.0,Advogado,21966.2,Viúvo
Renata,F,19.0,Programador,12837.18,Solteiro
Ricardo,M,18.0,Engenheiro de Petróleo,14293.44,Viúvo
Francisca,M,19.0,Diretor (CTO),3114.2,Casado
Francisca,M,18.0,Piloto,17037.48,Solteiro
José,M,19.0,Analista de Sistemas,8701.15,Solteiro
Mariana,M,18.0,Engenheiro,10000.39,Casado
Luciana,F,18.0,Programador,8220.56,Divorciado
Felipe,M,18.0,Gerente de TI,7145.86,Solteiro
José,M,19.0,Dentista,20921.05,Casado
Marcia,M,19.0,Gerente de Vendas,18941.28,Casado
Eliane,F,19.0,Consultor,11314.72,Viúvo
Renata,F,,Diretor Executivo (CEO),19143.33,Divorciado
João,F,18.0,Dentista,15316.51,Solteiro
Luiz,M,18.0,Engenheiro de Petróleo,20450.52,Solteiro
Gabriela,M,,Gerente de TI,3499.34,Divorciado
Raquel,M,19.0,Programador,14428.71,Solteiro
Fernanda,F,19.0,Engenheiro de Petróleo,13325.9,Casado
Fatima,F,,Gerente,9717.42,Solteiro
Francisco,F,19.0,Advogado,17557.88,Viúvo
Pedro,M,18.0,Programador,15820.61,Solteiro
Lucas,M,18.0,Analista de Sistemas,21293.48,Casado
